ENSG00000001626,5
ENSG00000000457,6
ENSG00000001036,3
ENSG00000000419,4
ENSG00000000460,7
ENSG00000002726,35
ENSG00000001617,4
ENSG00000002016,2
ENSG00000002586,1
ENSG00000002549,1
ENSG00000000938,1
ENSG00000002330,3
ENSG00000001167,2
ENSG00000004139,35
ENSG00000003393,2
ENSG00000001461,1
ENSG00000003509,5
ENSG00000004897,35
ENSG00000002822,5
ENSG00000001561,1
ENSG00000003989,3
ENSG00000004142,3
ENSG00000002746,6
ENSG00000002834,1
ENSG00000004399,10
ENSG00000003056,1
ENSG00000004809,32
ENSG00000004660,2
ENSG00000004455,7
ENSG00000003402,3
ENSG00000003756,1
ENSG00000005206,32
ENSG00000002933,1
ENSG00000002587,1
ENSG00000004487,3
ENSG00000003137,1
ENSG00000004838,5
ENSG00000004777,3
ENSG00000004766,6
ENSG00000005243,22
ENSG00000005075,8
ENSG00000005249,1
ENSG00000003096,1
ENSG00000004468,2
ENSG00000004478,1
ENSG00000005022,1
ENSG00000004975,6
ENSG00000005007,3
ENSG00000005844,10
ENSG00000004776,1
ENSG00000006638,28
ENSG00000004534,2
ENSG00000003987,1
ENSG00000004846,2
ENSG00000003436,1
ENSG00000005436,1
ENSG00000004866,1
ENSG00000004948,2
ENSG00000004939,1
ENSG00000005156,2
ENSG00000006530,2
ENSG00000005073,1
ENSG00000005189,1
ENSG00000006756,26
ENSG00000005810,5
ENSG00000005108,2
ENSG00000005100,1
ENSG00000005187,4
ENSG00000007047,10
ENSG00000005884,7
ENSG00000005483,1
ENSG00000005339,13
ENSG00000004864,1
ENSG00000007376,5
ENSG00000006282,3
ENSG00000005102,2
ENSG00000007541,24
ENSG00000006071,9
ENSG00000005981,2
ENSG00000006468,13
ENSG00000007174,18
ENSG00000005882,2
ENSG00000005238,2
ENSG00000007402,5
ENSG00000008128,34
ENSG00000005302,2
ENSG00000005486,1
ENSG00000005448,5
ENSG00000006015,2
ENSG00000007545,5
ENSG00000005059,1
ENSG00000006114,3
ENSG00000005471,2
ENSG00000005381,2
ENSG00000008710,28
ENSG00000006025,2
ENSG00000005379,3
ENSG00000005513,4
ENSG00000006459,3
ENSG00000005421,2
ENSG00000006611,16
ENSG00000006016,2
ENSG00000006534,4
ENSG00000008838,25
ENSG00000006118,2
ENSG00000010438,35
ENSG00000006047,3
ENSG00000007341,4
ENSG00000005961,2
ENSG00000005812,1
ENSG00000007168,5
ENSG00000006695,4
ENSG00000008294,4
ENSG00000006059,3
ENSG00000006327,3
ENSG00000006704,6
ENSG00000009790,5
ENSG00000006788,17
ENSG00000006125,2
ENSG00000011426,5
ENSG00000007516,7
ENSG00000008382,13
ENSG00000005700,1
ENSG00000006432,6
ENSG00000006740,1
ENSG00000006062,1
ENSG00000006453,2
ENSG00000006283,4
ENSG00000013375,2
ENSG00000006007,1
ENSG00000006576,1
ENSG00000006194,2
ENSG00000006606,1
ENSG00000007062,8
ENSG00000007038,2
ENSG00000006747,2
ENSG00000007202,13
ENSG00000018189,4
ENSG00000006607,3
ENSG00000008323,2
ENSG00000007216,3
ENSG00000007520,3
ENSG00000011451,8
ENSG00000018280,7
ENSG00000006837,4
ENSG00000007384,5
ENSG00000006715,3
ENSG00000009413,5
ENSG00000006042,1
ENSG00000012211,1
ENSG00000007080,1
ENSG00000018607,35
ENSG00000008988,1
ENSG00000006831,1
ENSG00000007933,1
ENSG00000010310,12
ENSG00000009765,2
ENSG00000013293,2
ENSG00000022567,6
ENSG00000009830,4
ENSG00000008056,2
ENSG00000007314,6
ENSG00000010322,6
ENSG00000006377,1
ENSG00000013297,2
ENSG00000007264,3
ENSG00000028310,13
ENSG00000007372,3
ENSG00000008196,6
ENSG00000008277,3
ENSG00000010818,6
ENSG00000013573,33
ENSG00000008300,6
ENSG00000029363,35
ENSG00000006757,2
ENSG00000010361,7
ENSG00000008130,3
ENSG00000006744,1
ENSG00000011132,4
ENSG00000011523,13
ENSG00000014164,12
ENSG00000034063,18
ENSG00000010292,7
ENSG00000007968,2
ENSG00000007923,4
ENSG00000007908,4
ENSG00000011258,1
ENSG00000008441,3
ENSG00000012061,3
ENSG00000015592,34
ENSG00000007306,1
ENSG00000034152,35
ENSG00000008083,4
ENSG00000008226,5
ENSG00000010327,10
ENSG00000011405,3
ENSG00000008118,3
ENSG00000008853,3
ENSG00000008869,11
ENSG00000011454,2
ENSG00000013288,6
ENSG00000008735,8
ENSG00000041802,31
ENSG00000007255,3
ENSG00000007171,1
ENSG00000009724,4
ENSG00000009307,2
ENSG00000013374,18
ENSG00000011243,2
ENSG00000020256,5
ENSG00000009335,2
ENSG00000008438,2
ENSG00000042304,11
ENSG00000010610,16
ENSG00000010282,3
ENSG00000010030,1
ENSG00000012223,1
ENSG00000011304,5
ENSG00000021826,31
ENSG00000010165,1
ENSG00000044090,35
ENSG00000010803,2
ENSG00000007866,1
ENSG00000010379,2
ENSG00000009954,2
ENSG00000014216,5
ENSG00000011332,3
ENSG00000023734,3
ENSG00000047410,12
ENSG00000009950,2
ENSG00000007952,1
ENSG00000007392,1
ENSG00000010295,3
ENSG00000014914,4
ENSG00000024422,4
ENSG00000048707,6
ENSG00000010017,2
ENSG00000013725,16
ENSG00000015133,5
ENSG00000020181,4
ENSG00000010319,3
ENSG00000011638,1
ENSG00000026036,9
ENSG00000055609,35
ENSG00000015285,1
ENSG00000021762,15
ENSG00000012817,1
ENSG00000011566,5
ENSG00000026751,4
ENSG00000010278,2
ENSG00000058453,22
ENSG00000008311,2
ENSG00000015568,10
ENSG00000017373,3
ENSG00000011295,1
ENSG00000013561,4
ENSG00000017260,2
ENSG00000011590,4
ENSG00000014919,1
ENSG00000013016,1
ENSG00000011485,3
ENSG00000059122,24
ENSG00000008513,2
ENSG00000009780,1
ENSG00000017797,1
ENSG00000011009,3
ENSG00000008516,2
ENSG00000025770,14
ENSG00000010810,1
ENSG00000011143,2
ENSG00000012232,1
ENSG00000022556,7
ENSG00000013364,2
ENSG00000060069,26
ENSG00000011083,3
ENSG00000012048,10
ENSG00000011198,1
ENSG00000028137,15
ENSG00000015532,1
ENSG00000019485,4
ENSG00000011275,3
ENSG00000025796,23
ENSG00000035720,15
ENSG00000060491,18
ENSG00000017483,1
ENSG00000012822,2
ENSG00000020922,4
ENSG00000036828,1
ENSG00000013810,7
ENSG00000062822,34
ENSG00000011260,1
ENSG00000023572,1
ENSG00000011376,2
ENSG00000023608,3
ENSG00000013306,1
ENSG00000015171,2
ENSG00000026297,19
ENSG00000010244,1
ENSG00000043093,2
ENSG00000014123,3
ENSG00000011114,1
ENSG00000064692,3
ENSG00000038219,4
ENSG00000009694,1
ENSG00000011600,2
ENSG00000023191,3
