GENE_ID,HIGH,LOW,MODERATE,MODIFIER,MODERATE_ratio_control,HIGH_ratio_control,LOW_ratio_control,MODIFIER_ratio_control
ENSG00000034677,0,0,2,11,0.15,0.0,0.0,0.85
ENSG00000035115,0,0,0,21,0.0,0.0,0.0,1.0
ENSG00000036530,0,0,0,7,0.0,0.0,0.0,1.0
ENSG00000037474,0,0,3,6,0.33,0.0,0.0,0.67
ENSG00000037897,0,0,0,7,0.0,0.0,0.0,1.0
ENSG00000038002,0,2,1,9,0.08,0.0,0.17,0.75
ENSG00000038219,0,0,4,0,1.0,0.0,0.0,0.0
ENSG00000039123,0,2,0,8,0.0,0.0,0.2,0.8
ENSG00000039319,0,0,3,4,0.43,0.0,0.0,0.57
ENSG00000039987,0,0,6,2,0.75,0.0,0.0,0.25
ENSG00000040275,0,0,1,2,0.33,0.0,0.0,0.67
ENSG00000041515,0,2,3,6,0.27,0.0,0.18,0.55
ENSG00000041880,0,0,4,5,0.44,0.0,0.0,0.56
ENSG00000043143,0,3,0,11,0.0,0.0,0.21,0.79
ENSG00000043355,0,0,1,4,0.2,0.0,0.0,0.8
ENSG00000043514,0,0,0,14,0.0,0.0,0.0,1.0
ENSG00000046651,0,0,4,1,0.8,0.0,0.0,0.2
ENSG00000046653,0,0,0,22,0.0,0.0,0.0,1.0
ENSG00000047621,0,0,0,6,0.0,0.0,0.0,1.0
ENSG00000047644,0,0,2,0,1.0,0.0,0.0,0.0
ENSG00000048028,0,0,4,2,0.67,0.0,0.0,0.33
ENSG00000048162,0,6,1,2,0.11,0.0,0.67,0.22
ENSG00000048342,0,0,10,16,0.38,0.0,0.0,0.62
ENSG00000048392,0,0,0,8,0.0,0.0,0.0,1.0
ENSG00000048545,0,0,5,0,1.0,0.0,0.0,0.0
ENSG00000048991,0,0,7,3,0.7,0.0,0.0,0.3
ENSG00000049245,0,0,2,7,0.22,0.0,0.0,0.78
ENSG00000049656,2,0,0,1,0.0,0.67,0.0,0.33
ENSG00000050405,0,0,5,6,0.45,0.0,0.0,0.55
ENSG00000051523,0,0,0,9,0.0,0.0,0.0,1.0
ENSG00000052126,0,0,16,8,0.67,0.0,0.0,0.33
ENSG00000052850,0,1,1,0,0.5,0.0,0.5,0.0
ENSG00000053254,0,0,4,2,0.67,0.0,0.0,0.33
ENSG00000053702,0,0,0,3,0.0,0.0,0.0,1.0
ENSG00000053918,2,2,0,4,0.0,0.25,0.25,0.5
ENSG00000054356,0,3,0,20,0.0,0.0,0.13,0.87
ENSG00000054611,0,0,7,10,0.41,0.0,0.0,0.59
ENSG00000054938,0,0,0,6,0.0,0.0,0.0,1.0
ENSG00000056586,0,0,7,1,0.88,0.0,0.0,0.12
ENSG00000056998,0,0,10,7,0.59,0.0,0.0,0.41
ENSG00000057657,0,0,2,5,0.29,0.0,0.0,0.71
ENSG00000058063,0,0,2,6,0.25,0.0,0.0,0.75
ENSG00000058804,0,0,0,4,0.0,0.0,0.0,1.0
ENSG00000060138,0,0,0,11,0.0,0.0,0.0,1.0
ENSG00000060140,0,0,1,6,0.14,0.0,0.0,0.86
ENSG00000060566,0,8,0,3,0.0,0.0,0.73,0.27
ENSG00000060688,0,0,0,5,0.0,0.0,0.0,1.0
ENSG00000060762,0,0,0,5,0.0,0.0,0.0,1.0
ENSG00000061337,0,3,0,0,0.0,0.0,1.0,0.0
ENSG00000061455,0,0,1,0,1.0,0.0,0.0,0.0
ENSG00000061676,0,2,0,0,0.0,0.0,1.0,0.0
ENSG00000062096,3,0,0,0,0.0,1.0,0.0,0.0
ENSG00000062194,0,7,0,3,0.0,0.0,0.7,0.3
ENSG00000062370,0,0,6,8,0.43,0.0,0.0,0.57
ENSG00000062716,0,6,4,12,0.18,0.0,0.27,0.55
ENSG00000063169,0,1,1,1,0.33,0.0,0.33,0.33
ENSG00000063176,0,0,7,10,0.41,0.0,0.0,0.59
ENSG00000063177,0,0,0,16,0.0,0.0,0.0,1.0
ENSG00000064012,0,14,0,6,0.0,0.0,0.7,0.3
ENSG00000064102,0,4,0,3,0.0,0.0,0.57,0.43
ENSG00000064607,0,7,5,13,0.2,0.0,0.28,0.52
ENSG00000064652,0,0,0,7,0.0,0.0,0.0,1.0
ENSG00000064726,0,2,0,3,0.0,0.0,0.4,0.6
ENSG00000064989,0,3,0,0,0.0,0.0,1.0,0.0
ENSG00000065150,0,0,5,3,0.62,0.0,0.0,0.38
ENSG00000065183,3,0,1,5,0.11,0.33,0.0,0.56
ENSG00000065243,0,0,5,1,0.83,0.0,0.0,0.17
ENSG00000065665,0,0,0,10,0.0,0.0,0.0,1.0
ENSG00000065675,0,0,0,3,0.0,0.0,0.0,1.0
ENSG00000065978,0,0,0,4,0.0,0.0,0.0,1.0
ENSG00000066056,0,0,4,12,0.25,0.0,0.0,0.75
ENSG00000066185,0,0,3,4,0.43,0.0,0.0,0.57
ENSG00000066248,0,0,6,10,0.38,0.0,0.0,0.62
ENSG00000066379,0,0,0,6,0.0,0.0,0.0,1.0
ENSG00000066405,0,0,2,1,0.67,0.0,0.0,0.33
ENSG00000066468,0,15,0,2,0.0,0.0,0.88,0.12
ENSG00000066697,0,4,0,1,0.0,0.0,0.8,0.2
ENSG00000066739,0,0,0,5,0.0,0.0,0.0,1.0
ENSG00000066855,0,4,0,4,0.0,0.0,0.5,0.5
ENSG00000066933,0,0,6,2,0.75,0.0,0.0,0.25
ENSG00000067141,0,0,5,1,0.83,0.0,0.0,0.17
