,GENE,GENE_ID
5203,RP11-588L15.2ARHGEF28,ENSG00000250893ENSG00000214944
5204,APBB2ARHGEF28,ENSG00000163697ENSG00000214944
5205,Y_RNAARHGEF28,ENSG00000207195ENSG00000214944
5215,RP11-632F7.3ARHGEF28,ENSG00000250906ENSG00000214944
5217,APBB2CTD-2235C13.3,ENSG00000163697ENSG00000271815
5218,APBB2F2RL1,ENSG00000163697ENSG00000164251
5220,APBB2RN7SL208P,ENSG00000163697ENSG00000264391
5221,APBB2CTD-2179L22.1,ENSG00000163697ENSG00000253558
5222,APBB2CTD-2037K23.2,ENSG00000163697ENSG00000245556
5224,APBB2HOMER1,ENSG00000163697ENSG00000152413
5228,APBB2PAPD4,ENSG00000163697ENSG00000164329
5229,UCHL1PAPD4,ENSG00000154277ENSG00000164329
5234,UCHL1ZFYVE16,ENSG00000154277ENSG00000039319
5235,UCHL1-AS1ZFYVE16,ENSG00000251173ENSG00000039319
5241,UCHL1ZCCHC9,ENSG00000154277ENSG00000131732
5243,RP11-227F19.5ZCCHC9,ENSG00000249216ENSG00000131732
5244,SLC30A9ZCCHC9,ENSG00000014824ENSG00000131732
5247,YIPF7ZCCHC9,ENSG00000177752ENSG00000131732
5250,YIPF7ACOT12,ENSG00000177752ENSG00000172497
5253,NIPAL1ANKRD32,ENSG00000163293ENSG00000133302
5254,CNGA1ANKRD32,ENSG00000198515ENSG00000133302
5256,NIPAL1PCSK1,ENSG00000163293ENSG00000175426
5257,NIPAL1CTD-2337A12.1,ENSG00000163293ENSG00000251314
5258,CNGA1PCSK1,ENSG00000198515ENSG00000175426
5260,CNGA1CTC-506B8.1,ENSG00000198515ENSG00000249180
5261,NIPAL1CTC-506B8.1,ENSG00000163293ENSG00000249180
5262,CNGA1LNPEP,ENSG00000198515ENSG00000113441
5264,NIPAL1PAM,ENSG00000163293ENSG00000145730
5266,CNGA1PAM,ENSG00000198515ENSG00000145730
5269,OCIAD1PAM,ENSG00000109180ENSG00000145730
5274,OCIAD1PPIP5K2,ENSG00000109180ENSG00000145725
5283,OCIAD1-AS1NUDT12,ENSG00000248256ENSG00000112874
5284,OCIAD2NUDT12,ENSG00000145247ENSG00000112874
5287,OCIAD2SLC25A46,ENSG00000145247ENSG00000164209
5290,SCFD2SLC25A46,ENSG00000184178ENSG00000164209
5292,SRD5A3SLC25A46,ENSG00000128039ENSG00000164209
5293,SRD5A3-AS1CTC-459M5.2,ENSG00000249700ENSG00000251187
5294,SRD5A3CTC-459M5.2,ENSG00000128039ENSG00000251187
5295,SRD5A3KCNN2,ENSG00000128039ENSG00000080709
5296,MRPL22P1KCNN2,ENSG00000250324ENSG00000080709
5297,RP11-646I6.6KCNN2,ENSG00000270147ENSG00000080709
5298,HOPXKCNN2,ENSG00000171476ENSG00000080709
5304,HOPXRP11-492A10.1,ENSG00000171476ENSG00000246316
5305,HOPXPGGT1B,ENSG00000171476ENSG00000164219
5309,HOPXCDO1,ENSG00000171476ENSG00000129596
5311,HOPXAC034236.2,ENSG00000171476ENSG00000221778
5312,HOPXCTD-2287O16.3,ENSG00000171476ENSG00000268714
5313,HOPXFAM170A,ENSG00000171476ENSG00000164334
5318,HOPXSNX24,ENSG00000171476ENSG00000064652
5320,HOPXsnoU13,ENSG00000171476ENSG00000239103
5326,IGFBP7PRDM6,ENSG00000163453ENSG00000061455
5327,snoU13AC106786.1,ENSG00000238541ENSG00000223652
5328,IGFBP7-AS1AC106786.1,ENSG00000245067ENSG00000223652
5329,IGFBP7-AS1ZNF608,ENSG00000245067ENSG00000168916
5330,IGFBP7ZNF608,ENSG00000163453ENSG00000168916
5331,GNRHRZNF608,ENSG00000109163ENSG00000168916
5332,SNORA62ZNF608,ENSG00000202374ENSG00000168916
5334,UGT2B15ZNF608,ENSG00000196620ENSG00000168916
5337,UGT2A3ZNF608,ENSG00000135220ENSG00000168916
5340,SULT1B1ZNF608,ENSG00000173597ENSG00000168916
5342,HTN3ZNF608,ENSG00000205649ENSG00000168916
5351,HTN3PHAX,ENSG00000205649ENSG00000164902
5354,CABS1PHAX,ENSG00000145309ENSG00000164902
5355,SMR3APHAX,ENSG00000109208ENSG00000164902
5356,MOB1BPHAX,ENSG00000173542ENSG00000164902
5358,MOB1BFBN2,ENSG00000173542ENSG00000138829
5363,MOB1BY_RNA,ENSG00000173542ENSG00000207290
5366,GCFBN2,ENSG00000145321ENSG00000138829
5367,RNA5SP163IL3,ENSG00000222236ENSG00000164399
5368,GCSLC22A4,ENSG00000145321ENSG00000197208
5371,GCAC034220.3,ENSG00000145321ENSG00000233006
5374,ALBSLC22A5,ENSG00000163631ENSG00000197375
5376,ALBAC034220.3,ENSG00000163631ENSG00000233006
5380,ALBMIR3936,ENSG00000163631ENSG00000263597
5387,RASSF6SLC22A5,ENSG00000169435ENSG00000197375
5390,RASSF6CTC-350I8.1,ENSG00000169435ENSG00000272023
5391,RASSF6ZCCHC10,ENSG00000169435ENSG00000155329
5395,CXCL6ZCCHC10,ENSG00000124875ENSG00000155329
5398,CXCL1ZCCHC10,ENSG00000163739ENSG00000155329
5400,PF4ZCCHC10,ENSG00000163737ENSG00000155329
5401,PF4JADE2,ENSG00000163737ENSG00000043143
5402,RCHY1JADE2,ENSG00000163743ENSG00000043143
5415,RCHY1LECT2,ENSG00000163743ENSG00000145826
5416,THAP6GS1-39E22.1,ENSG00000174796ENSG00000253927
5417,RCHY1HNRNPA0,ENSG00000163743ENSG00000177733
5418,THAP6SIL1,ENSG00000174796ENSG00000120725
5419,RCHY1SIL1,ENSG00000163743ENSG00000120725
5424,THAP6TMEM173,ENSG00000174796ENSG00000184584
5427,RCHY1TMEM173,ENSG00000163743ENSG00000184584
5439,THAP6CTB-35F21.4,ENSG00000174796ENSG00000250692
5440,RCHY1HBEGF,ENSG00000163743ENSG00000113070
5441,G3BP2HBEGF,ENSG00000138757ENSG00000113070
5449,USO1HBEGF,ENSG00000138768ENSG00000113070
5451,USO1CTC-329D1.3,ENSG00000138768ENSG00000253965
5452,NAAASLC4A9,ENSG00000138744ENSG00000113073
5457,NAAACTC-329D1.2,ENSG00000138744ENSG00000249637
5459,SDAD1SLC4A9,ENSG00000198301ENSG00000113073
5460,SDAD1TMCO6,ENSG00000198301ENSG00000113119
5465,AC110615.1TMCO6,ENSG00000268788ENSG00000113119
5466,NUP54TMCO6,ENSG00000138750ENSG00000113119
5469,NUP54NDUFA2,ENSG00000138750ENSG00000131495
5476,RP11-359D14.2HARS2,ENSG00000233860ENSG00000112855
5477,11-sepZMAT2,ENSG00000138758ENSG00000146007
5478,11-sepHARS2,ENSG00000138758ENSG00000112855
5487,GK2HARS2,ENSG00000196475ENSG00000112855
5488,FGF5HARS2,ENSG00000138675ENSG00000112855
5492,FGF5ZMAT2,ENSG00000138675ENSG00000146007
5493,HSD17B13HARS2,ENSG00000170509ENSG00000112855
5494,HSD17B13PCDHA14,ENSG00000170509ENSG00000249504
5495,RP11-529H2.2PCDHA14,ENSG00000255723ENSG00000249504
5496,HSD17B11PCDHA14,ENSG00000198189ENSG00000249504
5497,HSD17B11PCDHA13,ENSG00000198189ENSG00000239389
5499,HSD17B11PCDHB6,ENSG00000198189ENSG00000113211
5500,RP11-529H2.2PCDHB6,ENSG00000255723ENSG00000113211
5502,HSD17B11PCDHB17,ENSG00000198189ENSG00000255622
5503,SPARCL1PCDHB6,ENSG00000152583ENSG00000113211
5505,SPARCL1PCDHB17,ENSG00000152583ENSG00000255622
5507,SPARCL1PCDHB14,ENSG00000152583ENSG00000120327
5511,SPARCL1AC005618.6,ENSG00000152583ENSG00000272070
5513,DMP1AC005618.6,ENSG00000152592ENSG00000272070
5514,DMP1PCDHGC5,ENSG00000152592ENSG00000240764
5515,RNU6-33PPCDHGC4,ENSG00000207524ENSG00000242419
5516,BMPR1BPCDHGC3,ENSG00000138696ENSG00000240184
5517,BMPR1BARHGAP26,ENSG00000138696ENSG00000145819
5521,METAP1ARHGAP26,ENSG00000164024ENSG00000145819
5528,ABT1P1ARHGAP26,ENSG00000250496ENSG00000145819
5529,METAP1RP11-118M9.3,ENSG00000164024ENSG00000251556
5530,H2AFZRP11-118M9.3,ENSG00000164032ENSG00000251556
5531,DNAJB14RP11-449H3.1,ENSG00000164031ENSG00000239602
5532,DNAJB14C5orf46,ENSG00000164031ENSG00000178776
5535,DNAJB14SPINK14,ENSG00000164031ENSG00000196800
5538,H2AFZSPINK14,ENSG00000164032ENSG00000196800
5539,H2AFZAC021078.1,ENSG00000164032ENSG00000221135
5540,H2AFZsnoU13,ENSG00000164032ENSG00000238369
5541,H2AFZRPS20P4,ENSG00000164032ENSG00000241907
5543,EMCNCD74,ENSG00000164035ENSG00000019582
5548,UBE2D3CD74,ENSG00000109332ENSG00000019582
5555,UBE2D3MYOZ3,ENSG00000109332ENSG00000164591
5557,UBE2D3TNIP1,ENSG00000109332ENSG00000145901
5570,UBE2D3CCDC69,ENSG00000109332ENSG00000198624
5573,UBE2D3GM2A,ENSG00000109332ENSG00000196743
5574,UBE2D3SLC36A2,ENSG00000109332ENSG00000186335
5578,PABPC1P7SLC36A2,ENSG00000250651ENSG00000186335
5579,CENPESLC36A1,ENSG00000138778ENSG00000123643
5582,NPNTSLC36A1,ENSG00000168743ENSG00000123643
5587,NPNTGALNT10,ENSG00000168743ENSG00000164574
5593,NPNTLARP1,ENSG00000168743ENSG00000155506
5603,GIMD1LARP1,ENSG00000250298ENSG00000155506
5604,CYP2U1LARP1,ENSG00000155016ENSG00000155506
5606,RP11-286E11.2LARP1,ENSG00000249604ENSG00000155506
5607,RP11-286E11.1LARP1,ENSG00000245293ENSG00000155506
5611,LEF1LARP1,ENSG00000138795ENSG00000155506
5624,PLA2G12ALARP1,ENSG00000123739ENSG00000155506
5627,PLA2G12AGEMIN5,ENSG00000123739ENSG00000082516
5628,GAR1GEMIN5,ENSG00000109534ENSG00000082516
5631,GAR1TIMD4,ENSG00000109534ENSG00000145850
5632,RP11-602N24.3TIMD4,ENSG00000272795ENSG00000145850
5633,PITX2AC106801.1,ENSG00000164093ENSG00000253519
5634,PITX2AC008694.3,ENSG00000164093ENSG00000253798
5635,PITX2LSM11,ENSG00000164093ENSG00000155858
5636,PITX2CLINT1,ENSG00000164093ENSG00000113282
5639,AP1ARCLINT1,ENSG00000138660ENSG00000113282
5644,RP11-73K9.2CLINT1,ENSG00000260526ENSG00000113282
5645,ALPK1CLINT1,ENSG00000073331ENSG00000113282
5647,ALPK1IL12B,ENSG00000073331ENSG00000113302
5648,ALPK1RNU4ATAC2P,ENSG00000073331ENSG00000221601
5649,ALPK1AC008697.1,ENSG00000073331ENSG00000249738
5650,ALPK1RP11-34P1.2,ENSG00000073331ENSG00000254373
5651,ALPK1C1QTNF2,ENSG00000073331ENSG00000145861
5653,ALPK1SLU7,ENSG00000073331ENSG00000164609
5659,ALPK1CTC-348L5.1,ENSG00000073331ENSG00000253687
5662,ALPK1GABRA6,ENSG00000073331ENSG00000145863
5667,CAMK2DRP11-348M17.2,ENSG00000145349ENSG00000253403
5668,CAMK2DGABRA6,ENSG00000145349ENSG00000145863
5672,CAMK2DCTB-178M22.1,ENSG00000145349ENSG00000253925
5673,CAMK2DCTC-558O2.1,ENSG00000145349ENSG00000254042
5676,CAMK2DSPDL1,ENSG00000145349ENSG00000040275
5679,CAMK2DFOXI1,ENSG00000145349ENSG00000168269
5681,CAMK2DKCNMB1,ENSG00000145349ENSG00000145936
5682,CAMK2DKCNIP1,ENSG00000145349ENSG00000182132
5683,ARSJKCNIP1,ENSG00000180801ENSG00000182132
5685,ARSJKCNMB1,ENSG00000180801ENSG00000145936
5686,UGT8FBXW11,ENSG00000174607ENSG00000072803
5689,NDST4FBXW11,ENSG00000138653ENSG00000072803
5691,PRSS12FBXW11,ENSG00000164099ENSG00000072803
5693,PRSS12RP11-779O18.1,ENSG00000164099ENSG00000253295
5694,TNIP3RP11-779O18.2,ENSG00000050730ENSG00000213386
5695,TNIP3RP11-779O18.3,ENSG00000050730ENSG00000253736
5696,TNIP3DUSP1,ENSG00000050730ENSG00000120129
5698,TNIP3STC2,ENSG00000050730ENSG00000113739
5703,TNIP3C5orf47,ENSG00000050730ENSG00000185056
5705,TNIP3ARL10,ENSG00000050730ENSG00000175414
5706,TRPC3MIR1271,ENSG00000138741ENSG00000221464
5707,TRPC3ARL10,ENSG00000138741ENSG00000175414
5710,SPATA5HIGD2A,ENSG00000145375ENSG00000146066
5711,SPATA5NOP16,ENSG00000145375ENSG00000048162
5712,ANKRD50NOP16,ENSG00000151458ENSG00000048162
5714,PLK4ARL10,ENSG00000142731ENSG00000175414
5715,PLK4NOP16,ENSG00000142731ENSG00000048162
5722,PLK4FAF2,ENSG00000142731ENSG00000113194
5723,RNU6-583PFAF2,ENSG00000251821ENSG00000113194
5724,MFSD8FAF2,ENSG00000164073ENSG00000113194
5728,MFSD8RP11-1334A24.6,ENSG00000164073ENSG00000248996
5729,MFSD8FAM153C,ENSG00000164073ENSG00000204677
5731,C4orf29FAM153C,ENSG00000164074ENSG00000204677
5735,PCDH18FAM153C,ENSG00000189184ENSG00000204677
5739,PCDH18N4BP3,ENSG00000189184ENSG00000145911
5740,SLC7A11-AS1RP11-281O15.5,ENSG00000250033ENSG00000254158
5741,SLC7A11-AS1ZNF879,ENSG00000250033ENSG00000234284
5743,CCRN4LZNF879,ENSG00000151014ENSG00000234284
5744,RP11-371F15.3RNF130,ENSG00000250195ENSG00000113269
5745,AC093602.1RNF130,ENSG00000264953ENSG00000113269
5746,SETD7RNF130,ENSG00000145391ENSG00000113269
5748,SETD7SCGB3A1,ENSG00000145391ENSG00000161055
5750,SETD7CTC-205M6.5,ENSG00000145391ENSG00000260841
5751,RP11-542P2.1BTNL3,ENSG00000205301ENSG00000168903
5752,RP11-542P2.1RNU6-1036P,ENSG00000205301ENSG00000206686
5755,RP11-542P2.1TRIM7,ENSG00000205301ENSG00000146054
5759,ZNF330TRIM7,ENSG00000109445ENSG00000146054
5760,ZNF330CTC-338M12.6,ENSG00000109445ENSG00000250900
5764,ZNF330CTC-338M12.5,ENSG00000109445ENSG00000250222
5768,GUSBP5CTC-338M12.6,ENSG00000236296ENSG00000250900
5769,ANAPC10CTC-338M12.5,ENSG00000164162ENSG00000250222
5770,ANAPC10CTC-338M12.6,ENSG00000164162ENSG00000250900
5771,ANAPC10RP11-1260E13.4,ENSG00000164162ENSG00000262061
5775,ANAPC10YWHAE,ENSG00000164162ENSG00000108953
5780,OTUD4YWHAE,ENSG00000164164ENSG00000108953
5785,OTUD4RILP,ENSG00000164164ENSG00000167705
5786,OTUD4PRPF8,ENSG00000164164ENSG00000174231
5795,MMAAPRPF8,ENSG00000151611ENSG00000174231
5797,RP11-557J10.4PRPF8,ENSG00000248356ENSG00000174231
5800,ZNF827PRPF8,ENSG00000151612ENSG00000174231
5808,TTC29PRPF8,ENSG00000137473ENSG00000174231
5813,RPS3APRPF8,ENSG00000145425ENSG00000174231
5815,SNORD73PRPF8,ENSG00000201264ENSG00000174231
5816,SNORD73APRPF8,ENSG00000208797ENSG00000174231
5830,FAM160A1SERPINF2,ENSG00000164142ENSG00000167711
5832,RP11-164P12.4SERPINF2,ENSG00000251603ENSG00000167711
5833,TMEM154SERPINF2,ENSG00000170006ENSG00000167711
5836,RBM46SERPINF2,ENSG00000151962ENSG00000167711
5839,TDO2SERPINF2,ENSG00000151790ENSG00000167711
5845,CTSORN7SL624P,ENSG00000256043ENSG00000265777
5846,RXFP1METTL16,ENSG00000171509ENSG00000127804
5853,RXFP1SAMD11P1,ENSG00000171509ENSG00000262480
5854,RXFP1RN7SL608P,ENSG00000171509ENSG00000239884
5855,NAF1RP11-74E22.5,ENSG00000145414ENSG00000272770
5856,NAF1RP11-74E22.3,ENSG00000145414ENSG00000262050
5857,NAF1OR1D5,ENSG00000145414ENSG00000262628
5858,NAF1OR1D2,ENSG00000145414ENSG00000184166
5859,DDX60OR1D2,ENSG00000137628ENSG00000184166
5860,DDX60OR1A1,ENSG00000137628ENSG00000172146
5861,SH3RF1OR3A2,ENSG00000154447ENSG00000221882
5862,SH3RF1CAMKK1,ENSG00000154447ENSG00000004660
5864,GALNTL6CAMKK1,ENSG00000174473ENSG00000004660
5866,FBXO8CAMKK1,ENSG00000164117ENSG00000004660
5868,FBXO8Y_RNA,ENSG00000164117ENSG00000251812
5869,FBXO8SPNS3,ENSG00000164117ENSG00000182557
5870,WDR17SPNS3,ENSG00000150627ENSG00000182557
5875,CLDN22SPNS3,ENSG00000177300ENSG00000182557
5876,CLDN24SPNS3,ENSG00000185758ENSG00000182557
5878,RWDD4SPNS3,ENSG00000182552ENSG00000182557
5885,RNU6-479PRP13-580F15.2,ENSG00000252157ENSG00000262823
5886,SNX25RP13-580F15.2,ENSG00000109762ENSG00000262823
5888,SNX25ARRB2,ENSG00000109762ENSG00000141480
5891,LRP2BPARRB2,ENSG00000109771ENSG00000141480
5903,RP11-714G18.1ARRB2,ENSG00000250410ENSG00000141480
5904,UFSP2ARRB2,ENSG00000109775ENSG00000141480
5905,C4orf47ARRB2,ENSG00000205129ENSG00000141480
5916,ORAOV1P1ARRB2,ENSG00000251008ENSG00000141480
5917,F11ARRB2,ENSG00000088926ENSG00000141480
5925,MTNR1AARRB2,ENSG00000168412ENSG00000141480
5926,RP11-215A19.2ARRB2,ENSG00000272297ENSG00000141480
5927,AC087392.1ARRB2,ENSG00000196737ENSG00000141480
5928,RP11-676J12.4ARRB2,ENSG00000262228ENSG00000141480
5929,INPP5KARRB2,ENSG00000132376ENSG00000141480
5947,PITPNA-AS1ZFP3,ENSG00000236618ENSG00000180787
5948,INPP5KZFP3,ENSG00000132376ENSG00000180787
5949,INPP5KRP11-420A6.2,ENSG00000132376ENSG00000263220
5950,INPP5KWSCD1,ENSG00000132376ENSG00000179314
5956,INPP5KFAM64A,ENSG00000132376ENSG00000129195
5966,PITPNA-AS1FAM64A,ENSG00000236618ENSG00000129195
5977,INPP5KKIAA0753,ENSG00000132376ENSG00000198920
5979,SLC43A2KIAA0753,ENSG00000167703ENSG00000198920
5983,SLC43A2AC026954.6,ENSG00000167703ENSG00000224647
5984,SLC43A2SAT2,ENSG00000167703ENSG00000141504
5985,SLC43A2SHBG,ENSG00000167703ENSG00000129214
6005,SCARF1SHBG,ENSG00000074660ENSG00000129214
6018,SCARF1C17orf59,ENSG00000074660ENSG00000196544
6019,SCARF1AC129492.1,ENSG00000074660ENSG00000266638
6020,SCARF1RNU7-43P,ENSG00000074660ENSG00000252363
6021,SCARF1MAGOH2,ENSG00000074660ENSG00000264176
6023,SCARF1ELAC2,ENSG00000074660ENSG00000006744
6027,TLCD2ELAC2,ENSG00000185561ENSG00000006744
6028,MIR22HGELAC2,ENSG00000186594ENSG00000006744
6037,MIR22HGCOX10-AS1,ENSG00000186594ENSG00000236088
6039,WDR81COX10-AS1,ENSG00000167716ENSG00000236088
6040,MIR22HGAC005224.2,ENSG00000186594ENSG00000231595
6042,WDR81TTC19,ENSG00000167716ENSG00000011295
6047,MIR22HGTTC19,ENSG00000186594ENSG00000011295
6050,MIR22HGNEK4P2,ENSG00000186594ENSG00000264359
6051,MIR22HGCCDC144A,ENSG00000186594ENSG00000170160
6059,MIR22HGRP11-219A15.1,ENSG00000186594ENSG00000266302
6062,MIR22HGRNU6-405P,ENSG00000186594ENSG00000252446
6065,WDR81CCDC144A,ENSG00000167716ENSG00000170160
6073,WDR81RP11-219A15.1,ENSG00000167716ENSG00000266302
6075,WDR81RN7SL620P,ENSG00000167716ENSG00000265680
6080,RP11-961A15.1CCDC144A,ENSG00000262791ENSG00000170160
6097,SERPINF1CCDC144A,ENSG00000132386ENSG00000170160
6099,SERPINF1RP11-219A15.1,ENSG00000132386ENSG00000266302
6101,SERPINF1RN7SL620P,ENSG00000132386ENSG00000265680
6102,SERPINF1RNU6-767P,ENSG00000132386ENSG00000206859
6103,SERPINF1RN7SL775P,ENSG00000132386ENSG00000243370
6104,SERPINF1FLCN,ENSG00000132386ENSG00000154803
6107,SERPINF1RP11-45M22.4,ENSG00000132386ENSG00000264187
6108,OVCA2FLCN,ENSG00000262664ENSG00000154803
6109,RP11-667K14.4FLCN,ENSG00000262533ENSG00000154803
6110,RP11-667K14.3FLCN,ENSG00000263050ENSG00000154803
6111,TSR1snoU13,ENSG00000167721ENSG00000238691
6112,TSR1LLGL1,ENSG00000167721ENSG00000131899
6113,SNORD91ALLGL1,ENSG00000212163ENSG00000131899
6114,SNORD91BLLGL1,ENSG00000212552ENSG00000131899
6116,TSR1SHMT1,ENSG00000167721ENSG00000176974
6119,SNORD91BSHMT1,ENSG00000212552ENSG00000176974
6120,SNORD91ASHMT1,ENSG00000212163ENSG00000176974
6121,OR1G1SHMT1,ENSG00000183024ENSG00000176974
6122,OR3A1SHMT1,ENSG00000180090ENSG00000176974
6123,OR3A3AC090286.4,ENSG00000159961ENSG00000196893
6124,TRPV1FAM83G,ENSG00000196689ENSG00000188522
6131,SHPKFAM83G,ENSG00000262304ENSG00000188522
6134,TAX1BP3FAM83G,ENSG00000213977ENSG00000188522
6135,C17orf85FAM83G,ENSG00000074356ENSG00000188522
6137,CTD-3195I5.1FAM83G,ENSG00000262758ENSG00000188522
6144,C17orf85RP11-1113L8.1,ENSG00000074356ENSG00000262769
6145,C17orf85ALDH3A1,ENSG00000074356ENSG00000108602
6147,RP11-810M2.2ALDH3A1,ENSG00000263165ENSG00000108602
6148,Y_RNAALDH3A1,ENSG00000207390ENSG00000108602
6149,GGT6ALDH3A1,ENSG00000167741ENSG00000108602
6162,GGT6RP11-311F12.2,ENSG00000167741ENSG00000264785
6163,GGT6ULK2,ENSG00000167741ENSG00000083290
6166,GGT6DHRS7B,ENSG00000167741ENSG00000109016
6167,SMTNL2DHRS7B,ENSG00000188176ENSG00000109016
6171,RN7SL784PDHRS7B,ENSG00000264113ENSG00000109016
6172,RN7SL171PRP11-19P22.8,ENSG00000263599ENSG00000266872
6173,SPAG7TNFAIP1,ENSG00000091640ENSG00000109079
6174,SPAG7TMEM97,ENSG00000091640ENSG00000109084
6175,SPAG7IFT20,ENSG00000091640ENSG00000109083
6179,INCA1TNFAIP1,ENSG00000196388ENSG00000109079
6180,AC004771.1IFT20,ENSG00000203562ENSG00000109083
6181,INCA1IFT20,ENSG00000196388ENSG00000109083
6182,RP5-1050D4.5IFT20,ENSG00000262227ENSG00000109083
6185,RP5-1050D4.4IFT20,ENSG00000262678ENSG00000109083
6187,RPAINIFT20,ENSG00000129197ENSG00000109083
6189,RPAINTNFAIP1,ENSG00000129197ENSG00000109079
6190,RPAINTMEM97,ENSG00000129197ENSG00000109084
6196,RPAINPOLDIP2,ENSG00000129197ENSG00000004142
6204,CTC-524C5.2POLDIP2,ENSG00000263272ENSG00000004142
6205,DHX33TNFAIP1,ENSG00000005100ENSG00000109079
6206,DHX33POLDIP2,ENSG00000005100ENSG00000004142
6207,C1QBPPOLDIP2,ENSG00000108561ENSG00000004142
6209,DHX33CTB-96E2.7,ENSG00000005100ENSG00000265618
6210,DHX33MIR4723,ENSG00000005100ENSG00000264302
6211,FBXO39SLC13A2,ENSG00000177294ENSG00000007216
6217,BCL6BSLC13A2,ENSG00000161940ENSG00000007216
6223,SLC16A11SLC13A2,ENSG00000174326ENSG00000007216
6224,SLC16A13SLC13A2,ENSG00000174327ENSG00000007216
6234,TMEM102SLC13A2,ENSG00000181284ENSG00000007216
6235,C17orf74ALDOC,ENSG00000184560ENSG00000109107
6236,TMEM102ALDOC,ENSG00000181284ENSG00000109107
6238,FGF11ALDOC,ENSG00000161958ENSG00000109107
6241,RP11-104H15.9ALDOC,ENSG00000262624ENSG00000109107
6244,FGF11RP11-192H23.5,ENSG00000161958ENSG00000265168
6245,RP11-104H15.10ALDOC,ENSG00000272884ENSG00000109107
6248,RP11-104H15.8ALDOC,ENSG00000263301ENSG00000109107
6249,SNORA48ALDOC,ENSG00000209582ENSG00000109107
6251,EFNB3ALDOC,ENSG00000108947ENSG00000109107
6252,WRAP53ALDOC,ENSG00000141499ENSG00000109107
6254,WRAP53RP11-192H23.6,ENSG00000141499ENSG00000265287
6256,WRAP53PROCA1,ENSG00000141499ENSG00000167525
6262,EFNB3PROCA1,ENSG00000108947ENSG00000167525
6267,WRAP53RAB34,ENSG00000141499ENSG00000109113
6273,RPL29P2RAB34,ENSG00000240480ENSG00000109113
6276,RPL29P2PROCA1,ENSG00000240480ENSG00000167525
6277,CYB5D1RAB34,ENSG00000182224ENSG00000109113
6279,CYB5D1PROCA1,ENSG00000182224ENSG00000167525
6295,AC025335.1RAB34,ENSG00000179859ENSG00000109113
6296,SCARNA21FLOT2,ENSG00000252835ENSG00000132589
6297,VAMP2FLOT2,ENSG00000220205ENSG00000132589
6300,VAMP2RP11-20B24.7,ENSG00000220205ENSG00000264304
6305,KRBA2FLOT2,ENSG00000184619ENSG00000132589
6307,RP11-849F2.5FLOT2,ENSG00000265749ENSG00000132589
6308,RP11-849F2.7RP11-20B24.5,ENSG00000263809ENSG00000265845
6309,RP11-849F2.5RP11-20B24.5,ENSG00000265749ENSG00000265845
6310,PIK3R5RP11-20B24.5,ENSG00000141506ENSG00000265845
6311,PIK3R5NSRP1,ENSG00000141506ENSG00000126653
6317,PIK3R5TMIGD1,ENSG00000141506ENSG00000182271
6319,PIK3R5GOSR1,ENSG00000141506ENSG00000108587
6327,PIK3R5CRLF3,ENSG00000141506ENSG00000176390
6331,PIK3R5CTD-2349P21.9,ENSG00000141506ENSG00000266490
6332,NTN1CTD-2349P21.1,ENSG00000065320ENSG00000242439
6333,NTN1CTD-2349P21.11,ENSG00000065320ENSG00000265334
6334,NTN1EVI2B,ENSG00000065320ENSG00000185862
6335,RPL19P18EVI2B,ENSG00000241654ENSG00000185862
6336,RP11-401O9.4EVI2B,ENSG00000273388ENSG00000185862
6337,RP11-401O9.4CTD-2370N5.3,ENSG00000273388ENSG00000265118
6338,RP11-401O9.3CTD-2370N5.3,ENSG00000264067ENSG00000265118
6339,MYH1CTD-2370N5.3,ENSG00000109061ENSG00000265118
6341,MYH1COPRS,ENSG00000109061ENSG00000172301
6347,PIRTCOPRS,ENSG00000233670ENSG00000172301
6350,SHISA6COPRS,ENSG00000188803ENSG00000172301
6351,SHISA6SUZ12,ENSG00000188803ENSG00000178691
6353,RP11-628O18.1SUZ12,ENSG00000263684ENSG00000178691
6354,ZNF18ZNF207,ENSG00000154957ENSG00000010244
6357,RP11-1096G20.5ZNF207,ENSG00000266368ENSG00000010244
6361,RP11-1090M7.1ZNF207,ENSG00000265489ENSG00000010244
6362,ARHGAP44RP11-227G15.3,ENSG00000006740ENSG00000265794
6363,ARHGAP44ZNF207,ENSG00000006740ENSG00000010244
6367,MIR1269BZNF207,ENSG00000265503ENSG00000010244
6369,TVP23CZNF207,ENSG00000175106ENSG00000010244
6370,AC005517.3ZNF207,ENSG00000223878ENSG00000010244
6371,TVP23C-CDRT4PSMD11,ENSG00000259024ENSG00000108671
6373,TVP23CPSMD11,ENSG00000175106ENSG00000108671
6375,CDRT4PSMD11,ENSG00000239704ENSG00000108671
6376,TVP23C-CDRT4RP11-220C2.1,ENSG00000259024ENSG00000264458
6377,TVP23CTMEM98,ENSG00000175106ENSG00000006042
6378,TRIM16TMEM98,ENSG00000221926ENSG00000006042
6386,TRIM16CCL7,ENSG00000221926ENSG00000108688
6390,RP11-640I15.1CCL11,ENSG00000266261ENSG00000172156
6391,TRIM16RP11-799D4.4,ENSG00000221926ENSG00000266947
6393,TRIM16SLFN13,ENSG00000221926ENSG00000154760
6404,TRIM16SLFN14,ENSG00000221926ENSG00000236320
6405,TRIM16RP11-1094M14.12,ENSG00000221926ENSG00000267359
6409,UBE2SP1RP11-1094M14.12,ENSG00000233966ENSG00000267359
